username,recency,frequency,monetary,cluster,umap_x,umap_y
enggardestri23,1517,3,394900.0,4,16.5619,7.977193
enggarmerliandiradira,1389,2,80000.0,1,-4.1636076,6.147482
enggelia2,1401,2,70215.0,1,-5.5749516,7.478078
enggoleando,1677,2,100452.0,1,2.6122031,16.683796
enghoa1402,604,2,112763.0,0,2.5062885,-7.0013857
engkar99,1570,2,57813.0,1,-6.888784,10.009066
engkohbayu24,1572,2,144600.0,1,5.7937207,9.750723
eni.azzahra.ashifa,1307,3,185187.0,4,13.4839945,4.3123794
eni0314,629,16,8597111.0,2,19.284323,-5.9958477
eni_042017,1389,3,197850.0,4,14.057852,4.8561997
eni_susantika,818,3,291900.0,3,15.147708,-2.617901
eni_widawati,1581,2,83000.0,1,-2.3384173,10.453534
eniendang62simanjuntak,1373,2,91142.0,1,-2.1334503,4.8221326
eniendarwati58,1312,2,107440.0,1,0.59776175,2.9631374
eniendrayanti27,1421,2,96408.0,1,-1.081273,5.4496117
enigma.essence,1775,2,133366.0,1,6.9710293,18.598099
enih031,1369,4,276363.0,5,18.22189,4.050813
eniinuraenii1234,1517,3,148160.0,4,12.842736,6.50607
eniismawati25,1542,4,284280.0,5,18.559464,5.5665135
enilinasar,1477,2,98477.0,1,-0.18012789,7.2222996
enimahranirangkuty,855,3,279411.0,3,15.083155,-2.6354976
enimularsih,913,2,99292.0,0,1.6254994,-1.7016149
eninadhira08,1787,3,547068.0,4,18.346382,12.183177
enincantik59,1548,4,280610.0,5,18.536604,5.6238937
eninta01,1544,2,92894.0,1,-0.8381236,9.202083
eninuraeni18924,722,2,99760.0,0,1.8486506,-2.834675
eniollshop,886,2,147530.0,0,7.6836133,-1.5682044
enisuhainionshop,1330,11,628215.0,5,21.519243,2.1172783
enitanjung284,920,2,89273.0,0,0.20975591,-1.5297246
enitea2,1464,2,71250.0,1,-5.2625833,8.273566
enjangkone,753,2,119312.0,0,5.0173464,-2.7901063
enjelidwiputri,1457,2,164429.0,1,6.7055407,6.084614
enjelika_angel,1491,2,110190.0,1,1.8492998,7.4435635
enjelikaagusstina,1458,2,121540.0,1,3.1844163,5.951361
enjelinnaps,1654,2,220440.0,1,10.847362,14.471232
enjelipuspita,1581,2,107150.0,1,2.0984907,10.522403
enjelitaayuningrum110603,398,4,201309.0,2,16.343073,-7.1937933
enjelmusic060403,1499,2,97479.0,1,-0.19094184,7.7145824
enjelswarnadiva797,577,2,104232.0,0,1.4291074,-6.782458
enjeltabbi24,1555,2,170980.0,1,7.434577,9.5932045
enjialiyah,1686,2,151050.0,1,7.9666543,16.409828
enjie09,290,2,90768.0,0,-1.1087419,-6.5489664
enjiharigato,1363,4,1085090.0,5,22.900757,2.6178856
enjiraranta,1637,2,285360.0,1,11.630474,13.610918
enjisyahreza308,1320,4,143400.0,5,17.162378,3.835407
enjunjunaidi75,785,2,42300.0,0,-5.753662,-1.284886
enla7ix1at,1432,2,73748.0,1,-4.946306,7.6187024
ennoaura23,1432,2,250921.0,1,9.712686,7.5578732
ennyandra,875,2,261480.0,0,10.396151,-4.2952495
ennyc123,407,2,97400.0,0,0.041364953,-6.9199963
ennynatun,683,5,461817.0,2,17.688948,-6.468236
eno_nafansa,1325,3,156814.0,4,12.566021,4.65114
enoayulestari4,1541,2,83000.0,1,-2.5652697,9.316619
enoo_pl07,1574,2,105060.0,1,1.7072033,10.287046
enprwtasri,1742,3,128270.0,4,13.972914,10.548567
enrico_sihotang,1290,2,136321.0,1,4.671064,2.887948
enund,1547,3,117857.0,4,12.342769,7.787312
enung13,1431,4,132142.0,5,17.171034,3.9126275
enungkarl,1319,2,135000.0,1,4.3350406,2.9672554
enuxe5pen1,1569,2,103000.0,1,1.4418663,10.294387
eny2326,1479,4,233547.0,5,17.94795,4.7736363
eny_fashion85,877,2,313528.0,0,10.36675,-4.618787
eny_margaretha,1315,5,509151.0,5,21.040623,2.2253017
enyawati123,1780,2,219327.0,1,12.101237,16.30734
enyeeenhots,1574,2,77250.0,1,-3.4002368,11.075051
enying78,1340,2,114433.0,1,1.661918,3.175661
enypuspit04,1622,11,779536.0,5,22.587725,5.363516
enyyavitriyan,777,2,818000.0,0,9.959069,-5.4290056
enyza,1677,3,275412.0,4,17.122723,12.477521
enzelikawahyuni,873,2,110680.0,0,3.6491783,-1.8348628
eo0y1n0xkj,418,2,153042.0,0,6.672053,-8.468048
eogwvene19,186,3,126760.0,3,13.926126,-5.4213867
eonnicutek,1539,2,65920.0,1,-5.971527,9.233587
eonnytian868,536,3,306888.0,3,15.680475,-2.957349
eov8mxq6qc,1318,3,503861.0,4,16.792633,7.584565
eoxc00mv4ct0inege90vouserq0k,1598,2,171000.0,1,7.547792,10.267698
epa145,1575,2,70827.0,1,-5.0488276,12.129037
epameliaa1274,1402,12,2052987.0,5,23.319403,2.8149374
epan_oly,1752,3,453825.0,4,18.297758,12.256382
epeol,915,2,207580.0,0,10.260269,-2.944685
ephi_0407,1601,17,1406754.0,5,23.200191,4.725879
ephsgehe8y,1522,2,95979.0,1,-0.35422182,8.610377
epibahrudin915,207,2,66713.0,0,-3.4928105,-4.2120833
epihjuliantisari89,778,2,66994.0,0,-3.4143121,-1.738858
epii14,1704,4,185550.0,5,18.140877,6.3927875
episciaatfallintang,160,3,146500.0,3,14.268105,-4.992925
epitychia27,368,3,118010.0,3,13.861905,-5.511801
epjqjmhsvp,703,3,1009995.0,3,16.050411,-2.309847
epobabel,1582,2,61285.0,1,-6.7944517,10.515919
eppi.yyu,1804,2,442823.0,1,12.536254,13.170569
eppuz42yew,1481,3,138050.0,4,12.516571,6.3222017
epriando09,1429,2,183700.0,1,7.859067,5.971059
epulpul553,1346,2,172010.0,1,7.4196224,3.9871051
eq9ux888c3,1718,6,406079.0,5,21.55048,5.896563
eqemzw1_78,738,2,121017.0,0,5.3017735,-2.9054809
er520,1537,2,135562.0,1,4.8857327,8.491011
er_fau,1666,2,86035.0,1,0.14578515,16.667221
era02w,1394,2,67600.0,1,-6.1110826,7.7624035
erafzra_04,1487,16,1716478.0,5,23.173708,3.3868992
eraglowofficiall,823,2,202973.0,0,10.328179,-2.720089
erahmaww,796,3,248634.0,3,14.868875,-2.887459
erajessica,1461,3,114290.0,4,11.911161,6.8364024
eramall.id,1450,2,140000.0,1,4.964205,5.713333
erariva_shop,1573,2,124455.0,1,4.253416,9.713677
erasilungan,1437,4,142140.0,5,17.178717,3.9109282
erauminurchaini,1677,3,132659.0,4,14.18185,10.637056
erawatiiiiiiiiiiiiiii,1691,2,247406.0,1,11.642221,14.494904
erawijaya13,773,2,200368.0,0,10.369165,-2.4122503
erbliss,1522,2,106000.0,1,1.5443032,8.386868
